차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링],Error,Error
2018 투싼,1.6 가솔린 AWD,"2,547~2,979만원",l4,싱글터보,"1,591cc",가솔린,DCT10.4~10.9km/ℓ(4등급),5인승,풀타임4륜구동,자동(DCT)7단,l4,"1,591cc",가솔린,177hp,27.0kg.m,정보없음,정보없음,정보없음,DCT10.4~10.9km/ℓ(4등급),154.0~162.0g/km,"4,480mm","1,850mm","1,645~1,650mm","2,670mm","1,608mm","1,620mm","1,580~1,630kg",5인승,정보없음/정보없음/17~19inch,정보없음/정보없음/17~19inch,풀타임4륜구동,자동(DCT)7단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2018 투싼,1.6 디젤 AWD,"2,577~3,112만원",l4,싱글터보,"1,598cc",디젤,DCT13.8~14.4km/ℓ(2등급),5인승,풀타임4륜구동,자동(DCT)7단,l4,"1,598cc",디젤,136hp,32.6kg.m,정보없음,정보없음,정보없음,DCT13.8~14.4km/ℓ(2등급),130.0~137.0g/km,"4,480mm","1,850mm","1,645~1,650mm","2,670mm","1,608mm","1,620mm","1,645~1,695kg",5인승,정보없음/정보없음/17~19inch,정보없음/정보없음/17~19inch,풀타임4륜구동,자동(DCT)7단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2018 투싼,2.0 디젤 AWD,"2,626~3,161만원",l4,싱글터보,"1,995cc",디젤,자동12.4~13.1km/ℓ(3등급),5인승,풀타임4륜구동,자동8단,l4,"1,995cc",디젤,186hp,41.0kg.m,정보없음,정보없음,정보없음,자동12.4~13.1km/ℓ(3등급),145.0~154.0g/km,"4,480mm","1,850mm","1,645~1,650mm","2,670mm","1,608mm","1,620mm","1,720~1,775kg",5인승,정보없음/정보없음/17~19inch,정보없음/정보없음/17~19inch,풀타임4륜구동,자동8단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2018 투싼,1.6 가솔린,"2,351~2,783만원",l4,싱글터보,"1,591cc",가솔린,DCT11.3~11.9km/ℓ(3등급~4등급),5인승,전륜구동,자동(DCT)7단,l4,"1,591cc",가솔린,177hp,27.0kg.m,정보없음,정보없음,정보없음,DCT11.3~11.9km/ℓ(3등급~4등급),141.0~148.0g/km,"4,480mm","1,850mm","1,645~1,650mm","2,670mm","1,608mm","1,620mm","1,515~1,565kg",5인승,정보없음/정보없음/17~19inch,정보없음/정보없음/17~19inch,전륜구동,자동(DCT)7단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2018 투싼,1.6 디젤,"2,381~2,916만원",l4,싱글터보,"1,598cc",디젤,DCT15.3~16.3km/ℓ(1등급~2등급),5인승,전륜구동,자동(DCT)7단,l4,"1,598cc",디젤,136hp,32.6kg.m,정보없음,정보없음,정보없음,DCT15.3~16.3km/ℓ(1등급~2등급),115.0~122.0g/km,"4,480mm","1,850mm","1,645~1,650mm","2,670mm","1,608mm","1,620mm","1,580~1,630kg",5인승,정보없음/정보없음/17~19inch,정보없음/정보없음/17~19inch,전륜구동,자동(DCT)7단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 i20,1.0 T-가솔린,"16,395유로",l3,싱글터보,998cc,가솔린,정보없음,5인승,전륜구동,수동5~6단,l3,998cc,가솔린,100~120hp,17.5kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,035mm","1,734mm","1,474mm","2,570mm","1,520mm","1,519mm","1,164kg",5인승,185~195mm/55~65/15~16inch,185~195mm/55~65/15~16inch,전륜구동,수동5~6단,정보없음,정보없음,정보없음,정보없음,정보없음,,
2019 i20,1.2 가솔린,"13,995~17,295유로",l4,자연흡기,"1,248cc",가솔린,정보없음,5인승,전륜구동,수동5단,l4,"1,248cc",가솔린,75~84hp,12.4kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,035mm","1,734mm","1,474mm","2,570mm","1,520mm","1,519mm","1,158kg",5인승,185~195mm/55~65/15~16inch,185~195mm/55~65/15~16inch,전륜구동,수동5단,정보없음,정보없음,정보없음,정보없음,정보없음,,
2019 i20 액티브,1.0 T-GDI,"19,150~22,000유로",l3,싱글터보,998cc,가솔린,정보없음정보없음,5인승,전륜구동,"수동5~6단,자동(DCT)7단",l3,998cc,가솔린,100~120hp,17.5kg.m,정보없음,정보없음,정보없음,정보없음정보없음,정보없음,"4,065mm","1,760mm","1,529mm","2,570mm","1,517mm","1,519mm","1,250kg",5인승,185~195mm/55~65/15~16inch,185~195mm/55~65/15~16inch,전륜구동,"수동5~6단,자동(DCT)7단",정보없음,정보없음,정보없음,정보없음,정보없음,,
2019 i30,N라인,"2,379~2,556만원",l4,싱글터보,"1,591cc",가솔린,수동11.4km/ℓ(4등급)DCT11.8km/ℓ(3등급),5인승,전륜구동,"수동6단,자동(DCT)7단",l4,"1,591cc",가솔린,204hp,27.0kg.m,정보없음,정보없음,정보없음,수동11.4km/ℓ(4등급)DCT11.8km/ℓ(3등급),143.0~148.0g/km,"4,345mm","1,795mm","1,455mm","2,650mm","1,549mm","1,563mm","1,340~1,380kg",5인승,225mm/40/18inch,225mm/40/18inch,전륜구동,"수동6단,자동(DCT)7단",맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 i30,1.4 가솔린 터보...,"1,855~2,428만원",l4,싱글터보,"1,353cc",가솔린,DCT13.0km/ℓ(3등급),5인승,전륜구동,자동(DCT)7단,l4,"1,353cc",가솔린,140hp,24.7kg.m,정보없음,정보없음,정보없음,DCT13.0km/ℓ(3등급),127.0g/km,"4,340mm","1,795mm","1,455mm","2,650mm","1,553~1,559mm","1,567~1,573mm","1,325kg",5인승,205~225mm/45~55/16~17inch,205~225mm/45~55/16~17inch,전륜구동,자동(DCT)7단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 i30 N 패스트백,2.0 가솔린 터보,"41,990달러",l4,싱글터보,"1,998cc",가솔린,수동7.8ℓ/100km,5인승,전륜구동,수동6단,l4,"1,998cc",가솔린,250~275hp,36.0kg.m,250km/h,6.1~6.4초,정보없음,수동7.8ℓ/100km,178.0g/km,"4,455mm","1,795mm","1,425mm","2,650mm","1,565mm","1,573mm","1,516kg",5인승,225~235mm/35~40/18~19inch,225~235mm/35~40/18~19inch,전륜구동,수동6단,맥퍼슨스트럿,멀티링크,V디스크,V디스크,랙앤피니언,,
2019 그랜저,2.4 가솔린,"3,112~3,608만원",l4,자연흡기,"2,359cc",가솔린,자동11.0~11.2km/ℓ(4등급),5인승,전륜구동,자동6단,l4,"2,359cc",가솔린,190hp,24.6kg.m,정보없음,정보없음,정보없음,자동11.0~11.2km/ℓ(4등급),150.0~153.0g/km,"4,930mm","1,865mm","1,470mm","2,845mm","1,607~1,612mm","1,615~1,620mm","1,550~1,570kg",5인승,225~245mm/45~55/17~18inch,225~245mm/45~55/17~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 그랜저,장애인용,"3,179~3,560만원",V6,자연흡기,"2,999cc",LPG,자동7.4~7.6km/ℓ(5등급),5인승,전륜구동,자동6단,V6,"2,999cc",LPG,235hp,28.6kg.m,정보없음,정보없음,정보없음,자동7.4~7.6km/ℓ(5등급),174.0~180.0g/km,"4,930mm","1,865mm","1,470mm","2,845mm","1,612mm","1,620mm","1,630~1,665kg",5인승,225~245mm/45~55/17~18inch,225~245mm/45~55/17~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 그랜저,3.0 가솔린,"3,495~3,873만원",V6,자연흡기,"2,999cc",가솔린,자동9.9~10.1km/ℓ(4등급),5인승,전륜구동,자동8단,V6,"2,999cc",가솔린,266hp,31.4kg.m,정보없음,정보없음,정보없음,자동9.9~10.1km/ℓ(4등급),168.0~171.0g/km,"4,930mm","1,865mm","1,470mm","2,845mm","1,602~1,607mm","1,610~1,615mm","1,630~1,640kg",5인승,245mm/40~45/18~19inch,245mm/40~45/18~19inch,전륜구동,자동8단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 그랜저,3.0 LPi,"3,086~3,701만원",V6,자연흡기,"2,999cc",LPG,자동7.4km/ℓ(5등급),5인승,전륜구동,자동6단,V6,"2,999cc",LPG,235hp,28.6kg.m,정보없음,정보없음,정보없음,자동7.4km/ℓ(5등급),180.0g/km,"4,930mm","1,865mm","1,470mm","2,845mm","1,607mm","1,615mm","1,665kg",5인승,245mm/45/18inch,245mm/45/18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 그랜저,3.3 가솔린,"4,270만원",V6,자연흡기,"3,342cc",가솔린,자동9.7km/ℓ(4등급),5인승,전륜구동,자동8단,V6,"3,342cc",가솔린,290hp,35.0kg.m,정보없음,정보없음,정보없음,자동9.7km/ℓ(4등급),173.0g/km,"4,930mm","1,865mm","1,470mm","2,845mm","1,602mm","1,610mm","1,680kg",5인승,245mm/40/19inch,245mm/40/19inch,전륜구동,자동8단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 베뉴,1.6 가솔린,"1,473~2,111만원",I4,자연흡기,"1,598cc",가솔린,수동13.6km/ℓ(3등급)CVT13.3~13.7km/ℓ(3등급),5인승,전륜구동,"수동6단,자동(CVT)",I4,"1,598cc",가솔린,123hp,15.7kg.m,정보없음,정보없음,정보없음,수동13.6km/ℓ(3등급)CVT13.3~13.7km/ℓ(3등급),121.0~125.0g/km,"4,040mm","1,770mm","1,565~1,585mm","2,520mm","1,535~1,555mm","1,546~1,565mm","1,155~1,215kg",5인승,185~205mm/55~65/15~17inch,185~205mm/55~65/15~17inch,전륜구동,"수동6단,자동(CVT)",맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,,
2019 싼타페,2.0 가솔린 터보,"2,628~3,519만원",I4,싱글터보,"1,998cc",가솔린,자동9.5km/ℓ(4등급),5인승,전륜구동,자동8단,I4,"1,998cc",가솔린,235hp,36.0kg.m,정보없음,정보없음,정보없음,자동9.5km/ℓ(4등급),180.0g/km,"4,770mm","1,890mm","1,680~1,705mm","2,765mm","1,638mm","1,647mm","1,680kg",5인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,전륜구동,자동8단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 싼타페,2.0 가솔린 터보...,"2,828~3,719만원",I4,싱글터보,"1,998cc",가솔린,자동9.0km/ℓ(5등급),5인승,풀타임4륜구동,자동8단,I4,"1,998cc",가솔린,235hp,36.0kg.m,정보없음,정보없음,정보없음,자동9.0km/ℓ(5등급),190.0g/km,"4,770mm","1,890mm","1,680~1,705mm","2,765mm","1,638mm","1,647mm","1,745kg",5인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,풀타임4륜구동,자동8단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 싼타페,2.0 디젤,"2,888~3,797만원",I4,싱글터보,"1,995cc",디젤,자동13.5~13.8km/ℓ(2등급~3등급),5인승,전륜구동,자동8단,I4,"1,995cc",디젤,186hp,41.0kg.m,정보없음,정보없음,정보없음,자동13.5~13.8km/ℓ(2등급~3등급),138.0~141.0g/km,"4,770mm","1,890mm","1,680~1,705mm","2,765mm","1,638mm","1,647mm","1,795~1,810kg",5인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,전륜구동,자동8단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 싼타페,2.2 디젤,"2,913~3,822만원",I4,싱글터보,"2,199cc",디젤,자동13.3~13.6km/ℓ(3등급),5인승,전륜구동,자동8단,I4,"2,199cc",디젤,202hp,45.0kg.m,정보없음,정보없음,정보없음,자동13.3~13.6km/ℓ(3등급),140.0~144.0g/km,"4,770mm","1,890mm","1,680~1,705mm","2,765mm","1,638mm","1,647mm","1,820~1,830kg",5인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,전륜구동,자동8단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 싼타페,2.0 디젤 AWD,"3,088~3,997만원",I4,싱글터보,"1,995cc",디젤,자동12.0~12.3km/ℓ(3등급),5인승,풀타임4륜구동,자동8단,I4,"1,995cc",디젤,186hp,41.0kg.m,정보없음,정보없음,정보없음,자동12.0~12.3km/ℓ(3등급),156.0~160.0g/km,"4,770mm","1,890mm","1,680~1,705mm","2,765mm","1,638mm","1,647mm","1,860~1,875kg",5인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,풀타임4륜구동,자동8단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 싼타페,2.2 디젤 AWD,"3,113~4,022만원",I4,싱글터보,"2,199cc",디젤,자동12.0~12.3km/ℓ(3등급),5인승,풀타임4륜구동,자동8단,I4,"2,199cc",디젤,202hp,45.0kg.m,정보없음,정보없음,정보없음,자동12.0~12.3km/ℓ(3등급),156.0~160.0g/km,"4,770mm","1,890mm","1,680~1,705mm","2,765mm","1,638mm","1,647mm","1,885~1,895kg",5인승,235mm/55~60/18~19inch,235mm/55~60/18~19inch,풀타임4륜구동,자동8단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 쏘나타,2.0 가솔린,"2,288~3,207만원",I4,자연흡기,"1,999cc",가솔린,자동13.0~13.3km/ℓ(3등급),5인승,전륜구동,자동6단,I4,"1,999cc",가솔린,160hp,20.0kg.m,정보없음,정보없음,정보없음,자동13.0~13.3km/ℓ(3등급),126.0~129.0g/km,"4,900mm","1,860mm","1,445mm","2,840mm","1,618~1,633mm","1,625~1,640mm","1,405~1,470kg",5인승,205~235mm/45~65/16~18inch,205~235mm/45~65/16~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 쏘나타,2.0 LPi,"2,396~3,212만원",I4,자연흡기,"1,999cc",LPG,자동9.8~10.3km/ℓ(4등급),5인승,전륜구동,자동6단,I4,"1,999cc",LPG,146hp,19.5kg.m,정보없음,정보없음,정보없음,자동9.8~10.3km/ℓ(4등급),126.0~133.0g/km,"4,900mm","1,860mm","1,445mm","2,840mm","1,618~1,633mm","1,625~1,640mm","1,410~1,475kg",5인승,205~235mm/45~65/16~18inch,205~235mm/45~65/16~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 쏘나타,1.6 가솔린 터보...,"2,427~3,287만원",I4,싱글터보,"1,591cc",가솔린,자동13.2~13.7km/ℓ(3등급),5인승,전륜구동,자동8단,I4,"1,591cc",가솔린,180hp,27.0kg.m,정보없음,정보없음,정보없음,자동13.2~13.7km/ℓ(3등급),122.0~127.0g/km,"4,900mm","1,860mm","1,445mm","2,840mm","1,633mm","1,640mm","1,420~1,460kg",5인승,215~235mm/45~55/17~18inch,215~235mm/45~55/17~18inch,전륜구동,자동8단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 쏘나타,장애인용,"2,558~3,170만원",I4,자연흡기,"1,999cc",LPG,자동9.8~10.3km/ℓ(4등급),5인승,전륜구동,자동6단,I4,"1,999cc",LPG,146hp,19.5kg.m,정보없음,정보없음,정보없음,자동9.8~10.3km/ℓ(4등급),126.0~133.0g/km,"4,900mm","1,860mm","1,445mm","2,840mm","1,618~1,633mm","1,625~1,640mm","1,410~1,475kg",5인승,205~235mm/45~65/16~18inch,205~235mm/45~65/16~18inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 쏠라티,2.5 디젤 16인승,"6,344만원",I4,싱글터보,"2,497cc",디젤,정보없음,16인승,후륜구동,자동8단,I4,"2,497cc",디젤,170hp,43.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"6,195mm","2,038mm","2,665mm","3,670mm","1,712mm","1,718mm","4,000kg",16인승,235mm/65/16inch,235mm/65/16inch,후륜구동,자동8단,맥퍼슨스트럿,리프스프링,디스크,디스크,랙앤피니언,,
2019 쏠라티,2.5 디젤 15인승,"6,103~6,489만원",I4,싱글터보,"2,497cc",디젤,정보없음,15인승,후륜구동,자동8단,I4,"2,497cc",디젤,170hp,43.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"6,195mm","2,038mm","2,665mm","3,670mm","1,712mm","1,718mm","4,000kg",15인승,235~245mm/45~65/16~20inch,235~245mm/45~65/16~20inch,후륜구동,자동8단,맥퍼슨스트럿,"리프스프링,리프스프링",디스크,디스크,랙앤피니언,,
2019 아반떼,1.6 가솔린,"1,376~2,159만원",l4,자연흡기,"1,598cc",가솔린,수동14.0km/ℓ(2등급)CVT14.1~15.2km/ℓ(2등급),5인승,전륜구동,"수동6단,자동(CVT)",l4,"1,598cc",가솔린,123hp,15.7kg.m,정보없음,정보없음,정보없음,수동14.0km/ℓ(2등급)CVT14.1~15.2km/ℓ(2등급),108.0~119.0g/km,"4,620mm","1,800mm","1,440mm","2,700mm","1,555~1,563mm","1,564~1,572mm","1,230~1,290kg",5인승,195~205mm/55~65/15~17inch,195~205mm/55~65/15~17inch,전륜구동,"수동6단,자동(CVT)",맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,,
2019 아반떼,1.6 LPi,"1,656~2,050만원",l4,자연흡기,"1,591cc",LPG,자동10.6km/ℓ(4등급),5인승,전륜구동,자동6단,l4,"1,591cc",LPG,120hp,15.5kg.m,정보없음,정보없음,정보없음,자동10.6km/ℓ(4등급),122.0g/km,"4,620mm","1,800mm","1,440mm","2,700mm","1,563mm","1,572mm","1,270kg",5인승,195mm/65/15inch,195mm/65/15inch,전륜구동,자동6단,맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,,
2019 아반떼,1.6 디젤,"1,803~2,454만원",l4,싱글터보,"1,582cc",디젤,DCT17.8km/ℓ(1등급),5인승,전륜구동,자동(DCT)7단,l4,"1,582cc",디젤,136hp,30.6kg.m,정보없음,정보없음,정보없음,DCT17.8km/ℓ(1등급),104.0g/km,"4,620mm","1,800mm","1,440mm","2,700mm","1,555~1,563mm","1,564~1,572mm","1,355kg",5인승,195~205mm/55~65/15~16inch,195~205mm/55~65/15~16inch,전륜구동,자동(DCT)7단,맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,,
2019 아반떼,1.6 가솔린 터보,"1,916~2,306만원",I4,싱글터보,"1,591cc",가솔린,수동11.6km/ℓ(3등급)DCT12.0km/ℓ(3등급),5인승,전륜구동,"수동6단,자동(DCT)7단",I4,"1,591cc",가솔린,204hp,27.0kg.m,정보없음,정보없음,정보없음,수동11.6km/ℓ(3등급)DCT12.0km/ℓ(3등급),138.0~142.0g/km,"4,620mm","1,800mm","1,435mm","2,700mm","1,545mm","1,559mm","1,350~1,380kg",5인승,225mm/40/18inch,225mm/40/18inch,전륜구동,"수동6단,자동(DCT)7단",맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 아반떼,장애인용,"2,003~2,028만원",l4,자연흡기,"1,591cc",LPG,자동10.6km/ℓ(4등급),5인승,전륜구동,자동6단,l4,"1,591cc",LPG,120hp,15.5kg.m,정보없음,정보없음,정보없음,자동10.6km/ℓ(4등급),122.0g/km,"4,620mm","1,800mm","1,440mm","2,700mm","1,563mm","1,572mm","1,270kg",5인승,195mm/65/15inch,195mm/65/15inch,전륜구동,자동6단,맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언,,
2019 엑센트,1.6 가솔린,"14,995~19,080달러",I4,자연흡기,"1,591cc",가솔린,자동32.0mpg수동31.0mpg,5인승,전륜구동,"자동6단,수동6단",I4,"1,591cc",가솔린,130hp,16.5kg.m,정보없음,정보없음,정보없음,자동32.0mpg수동31.0mpg,정보없음,"4,405mm","1,729mm","1,470mm","2,600mm","1,560mm","1,524mm","1,560~1,650kg",5인승,185~205mm/45~65/15~17inch,185~205mm/45~65/15~17inch,전륜구동,"자동6단,수동6단",맥퍼슨스트럿,토션빔,V디스크,"디스크,드럼",랙앤피니언,,
2019 코나,1.6 가솔린 4WD,"3,122만원",I4,싱글터보,"1,591cc",가솔린,DCT11.0km/ℓ(4등급),5인승,풀타임4륜구동,자동(DCT)7단,I4,"1,591cc",가솔린,177hp,27.0kg.m,정보없음,정보없음,정보없음,DCT11.0km/ℓ(4등급),151.0g/km,"4,165mm","1,800mm","1,575mm","2,600mm","1,559mm","1,568mm","1,460kg",5인승,235mm/45/18inch,235mm/45/18inch,풀타임4륜구동,자동(DCT)7단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언,,
2019 코나,1.6 가솔린,"2,945만원",I4,싱글터보,"1,591cc",가솔린,DCT12.3km/ℓ(3등급),5인승,전륜구동,자동(DCT)7단,I4,"1,591cc",가솔린,177hp,27.0kg.m,정보없음,정보없음,정보없음,DCT12.3km/ℓ(3등급),134.0g/km,"4,165mm","1,800mm","1,575mm","2,600mm","1,559mm","1,568mm","1,370kg",5인승,235mm/45/18inch,235mm/45/18inch,전륜구동,자동(DCT)7단,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언,,
2019 투싼,1.6 디젤,가격정보없음,I4,싱글터보,"1,598cc",디젤,정보없음,5인승,풀타임4륜구동,자동(DCT)7단,I4,"1,598cc",디젤,136hp,32.6kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,480mm","1,850mm","1,645mm","2,670mm",정보없음,정보없음,정보없음,5인승,225mm/60/17inch,225mm/60/17inch,풀타임4륜구동,자동(DCT)7단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 투싼,N라인,가격정보없음,I4,싱글터보,"1,591cc",가솔린,정보없음,5인승,풀타임4륜구동,자동(DCT)7단,I4,"1,591cc",가솔린,177hp,27.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,480mm","1,850mm","1,645mm","2,670mm",정보없음,정보없음,정보없음,5인승,225mm/60/17inch,225mm/60/17inch,풀타임4륜구동,자동(DCT)7단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 투싼,2.0 디젤,가격정보없음,I4,싱글터보,"1,995cc",디젤,정보없음,5인승,풀타임4륜구동,자동8단,I4,"1,995cc",디젤,185hp,41.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"4,480mm","1,850mm","1,645mm","2,670mm",정보없음,정보없음,정보없음,5인승,225mm/60/17inch,225mm/60/17inch,풀타임4륜구동,자동8단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 팰리세이드,3.8 가솔린,"3,397~3,962만원",V6,자연흡기,"3,778cc",가솔린,자동9.3~9.6km/ℓ(4등급~5등급),8인승,전륜구동,자동8단,V6,"3,778cc",가솔린,295hp,36.2kg.m,정보없음,정보없음,정보없음,자동9.3~9.6km/ℓ(4등급~5등급),178.0~184.0g/km,"4,980mm","1,975mm","1,750mm","2,900mm","1,708mm","1,716mm","1,880~1,890kg",8인승,245mm/60/18~20inch,245mm/60/18~20inch,전륜구동,자동8단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 팰리세이드,2.2 디젤,"3,547~4,112만원",l4,싱글터보,"2,199cc",디젤,자동12.0~12.4km/ℓ(3등급),8인승,전륜구동,자동8단,l4,"2,199cc",디젤,202hp,45.0kg.m,정보없음,정보없음,정보없음,자동12.0~12.4km/ℓ(3등급),155.0~160.0g/km,"4,980mm","1,975mm","1,750mm","2,900mm","1,708mm","1,716mm","1,955~1,965kg",8인승,245mm/60/18~20inch,245mm/60/18~20inch,전륜구동,자동8단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 팰리세이드,3.8 가솔린 AWD,"3,632~4,197만원",V6,자연흡기,"3,778cc",가솔린,자동8.9~9.0km/ℓ(5등급),8인승,풀타임4륜구동,자동8단,V6,"3,778cc",가솔린,295hp,36.2kg.m,정보없음,정보없음,정보없음,자동8.9~9.0km/ℓ(5등급),191.0~192.0g/km,"4,980mm","1,975mm","1,750mm","2,900mm","1,708mm","1,716mm","1,950~1,960kg",8인승,245mm/60/18~20inch,245mm/60/18~20inch,풀타임4륜구동,자동8단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 팰리세이드,2.2 디젤 AWD,"3,782~4,347만원",l4,싱글터보,"2,199cc",디젤,자동11.5~11.8km/ℓ(3등급~4등급),8인승,풀타임4륜구동,자동8단,l4,"2,199cc",디젤,202hp,45.0kg.m,정보없음,정보없음,정보없음,자동11.5~11.8km/ℓ(3등급~4등급),163.0~167.0g/km,"4,980mm","1,975mm","1,750mm","2,900mm","1,708mm","1,716mm","2,020~2,030kg",8인승,245mm/60/18~20inch,245mm/60/18~20inch,풀타임4륜구동,자동8단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언,,
2019 포터2,2.5 디젤 일반캡 ,"1,530~1,907만원",l4,싱글터보,"2,497cc",디젤,자동8.9km/ℓ(5등급)수동9.6km/ℓ(4등급),정보없음,후륜구동,"자동5단,수동6단",l4,"2,497cc",디젤,133hp,26.5kg.m,정보없음,정보없음,정보없음,자동8.9km/ℓ(5등급)수동9.6km/ℓ(4등급),202.0~227.0g/km,"5,175mm","1,740mm","1,970mm","2,640mm","1,485mm","1,320mm","1,720~1,780kg",정보없음,195mm/70/15inch,145mm/정보없음/13inch,후륜구동,"자동5단,수동6단",정보없음,정보없음,정보없음,정보없음,정보없음,,
2019 포터2,2.5 디젤 슈퍼캡...,"1,740~1,969만원",l4,싱글터보,"2,497cc",디젤,수동8.4km/ℓ(5등급),정보없음,풀타임4륜구동,수동6단,l4,"2,497cc",디젤,133hp,26.5kg.m,정보없음,정보없음,정보없음,수동8.4km/ℓ(5등급),222.0g/km,"4,775mm","1,740mm","2,100mm","2,430mm","1,505mm","1,420mm","1,885kg",정보없음,195mm/70/15inch,145mm/정보없음/15inch,풀타임4륜구동,수동6단,정보없음,정보없음,정보없음,정보없음,정보없음,,
2019 포터2,2.5 디젤 슈퍼캡,"1,540~1,922만원",l4,싱글터보,"2,497cc",디젤,자동8.9~9.6km/ℓ(4등급~5등급)수동9.6km/ℓ(4등급),정보없음,후륜구동,"자동5단,수동6단",l4,"2,497cc",디젤,133hp,26.5kg.m,정보없음,정보없음,정보없음,자동8.9~9.6km/ℓ(4등급~5등급)수동9.6km/ℓ(4등급),202.0~220.0g/km,"4,775~5,100mm","1,740mm","1,970mm","2,430~2,640mm","1,485mm","1,320mm","1,730~1,980kg",정보없음,195mm/70/15inch,145mm/정보없음/13inch,후륜구동,"자동5단,수동6단",정보없음,정보없음,정보없음,정보없음,정보없음,,
